"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2852.31,0,0,0,0,0,3063.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2922.34,3043.28,0,0,0,0,2907.24,0,0,0,0,0,0,0,0,0,0,0,2865.61,0,0,0,0,0,2709.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,2954.71,0,2925.62,0,0,2976.23,2702.83,0,0,3009.14,0,0,2909.33,0,2882.86,0,0,2972.63,0,0,3000.11,0,2751.28,0,0,0,0,3007.46,0,2736.35,2861.11,0,2751.19,0,0,0,2979.72,2684.66,0,0,0,0,2863.97,2787.19,0,0,0,0,2899.98,0,0,2970.68,0,0,2633.77,0,0,0,0,0,0,0,0,2807.84,3027.12,0,0,2924.01,2682.42,0,3033.09,3063.41,0,0,0,0,0,3076.27,0,0,2712.23,0,2865.62,0,0,0,0,2839.25,0,3011.34,2773.92,0,0,0,0,0,3038.94
"4",2888.01,2825.91,2844.24,0,3083.13,0,2708.79,3036.37,0,0,3046.26,2904.09,0,2949.55,2868.13,0,2881.59,0,2914.64,2859.82,0,3067.22,3028.11,0,2764.97,0,2924.59,2976.11,2784.67,3025.45,0,2888.43,0,0,2925.95,0,2902.94,2975.7,0,0,0,2866.48,2823.3,2841.28,0,0,0,2798.36,2814.9,3003.19,3032.64,0,3021.53,3072.59,0,2700.9,3016.7,0,0,0,3034,2642.26,2887.92,2791.89,0,2892.95,0,0,2758.29,2967.05,0,0,2822.28,0,0,2999.53,0,2896.07,2904.14,2913.65,0,3012.44,0,0,2787.11,0,2966.65,2751.6,2812.7,2932.47,0,2781.12,0,0,2945.42,2758.64,2721.9,2798.35,2866.02,0
